Ship,Country or organization,Class,Type,Displacement (tons),First commissioned,Fate,Displacement,Country,YEAR
Chenango,USA,Sangamon,CVE,11400,20 June 1941,"decommissioned 1946, scrapped 1960",,,
Chequers,ENG,C,DD,1710,28 September 1945,scrapped 1966.,,,
Chervona Ukraina,Soviet Navy,Svetlana,CL,7600,3 October 1913,Sunk 12 November 1941,,,
Chester,USA,Northampton,CA,9200,24 June 1930,scrapped 1959,,,
Chester T. O’Brien,USA,Butler,DE,1350,3 July 1944,"decommissioned 1959, scrapped 1974",,,
Chesterfield,ENG,Town,DD,1190,9 September 1940,scrapped 1947,,,
Chevalier (I),USA,Fletcher,DD,2050,20 June 1942,sunk 7 October 1943,,,
Chevalier (II),USA,Gearing,DD,2250,9 January 1945,to South Korea 1977,,,
Chevron,ENG,C,DD,1710,23 August 1945,scrapped 1969,,,
Chew,USA,Wickes,DD,1190,12 December 1918,scrapped 1946,,,
Chicago (I),USA,Northampton,CA,9200,9 March 1931,sunk 30 January 1943,,,
Chicago (II),USA,Baltimore,CA,17200,10 January 1945,"converted to missile cruiser 1964, decommissioned 1980, scrapped 1992",,,
Chicoutimi,Royal Canadian Navy,Flower,K,925,12 May 1941,paid off 16 June 1945,,,
Chiddingfold,ENG,Hunt,DE,1050,October 1941,"paid off April 1952, scrapped 1975",,,
Chieftain,ENG,C,DD,1710,7 March 1946,Scrapped 1961,,,
Chikuma,JPN,Tone,CA,15200,30 May 1939,sunk 25 October 1944,,,
Chilliwack,Royal Canadian Navy,Flower,K,925,8 April 1941,paid off 14 July 1945,,,
Chitose,JPN,Chitose,CVL,11190,25 July 1938,sunk 25 October 1944,,,
Chiyoda,JPN,Chitose,CVL,11190,15 December 1938,sunk 25 October 1944,,,
Christopher,United States Navy  Brazilian Navy,Cannon,DE,1240,23 October 1943,to Brazil 19 December 1944 as Benevente,,,
Chrysanthemum,ENG,Flower,K,925,1941,sold 1947,,,
Churchill,Royal Navy  Soviet Navy,Town,DD,1190,9 September 1940,"to USSR as Deyatelny 16 July 1944, sunk 16 January 1945",,,
Chōkai,JPN,Takao,CA,15781,1932,sunk 25 October 1944,,,
Chūyō,JPN,Taiyō,CVE,18116,25 November 1942,sunk 4 December 1943,,,
Cincinnati,USA,Omaha,CL,7050,1 January 1924,scrapped 1946,,,
Clare,ENG,Town,DD,1190,9 September 1940,scrapped 1945,,,
Clarence K. Bronson,USA,Fletcher,DD,2050,11 June 1943,"to Turkey 1967, scrapped 1987",,,
Clarence L. Evans,USA,Cannon,DE,1240,25 June 1944,"to France 1952, scrapped 1960",,,
Clark,USA,Porter,DD,1850,20 May 1936,scrapped 1946,,,
Clarkia,ENG,Flower,K,925,22 April 1940,scrapped 1947,,,
Claxton,USA,Fletcher,DD,2050,8 December 1942,To West Germany 1959,,,
Clematis,ENG,Flower,K,925,27 July 1940[6],scrapped 1949,,,
Clemson,USA,Clemson,DD,1250,29 December 1919,Decommissioned 12 October 1945,,,
Cleveland,ENG,Hunt,DE,1000,1940,"paid off 26 March 1946, scrapped 1959",,,
Cleveland,USA,Cleveland,CL,10000,15 June 1942,"decommissioned 7 February 1947, scrapped 1960",,,
Clive,Royal Indian Navy,,SL,2083,20 April 1920,1947,,,
Cloues,USA,Evarts,DE,1140,10 August 1943,scrapped 1947,,,
Clover,ENG,Flower,K,925,13 May 1941,,,,
Clyde,ENG,River,SS,2206,1935,paid off 30 July 1946,,,
Coates,USA,Rudderow,DE,1450,24 January 1944,"decommissioned 1970, sunk as target 1971",,,
Coaticook,Royal Canadian Navy,River,FF,1445,25 July 1944,paid off 29 November 1945,,,
Cobalt,Royal Canadian Navy,Flower,K,925,25 November 1940,paid off 17 June 1945,,,
Cobourg,Royal Canadian Navy,Flower modified,K,1015,11 May 1944,15 June 1945,,,
Cochin,Royal Indian Navy,Basset,AM,529,1941–1944,1941–1944,,,
Cockade,ENG,C,DD,1885,29 September 1945,"Paid off 1958, scrapped 1964",,,
Cockrill,USA,Edsall,DE,1250,24 December 1943,"decommissioned 1946, sunk as target 1974",,,
Codrington,ENG,A,destroyer leader,1350,4 June 1930,sunk 27 July 1940,,,
Cofer,USA,Buckley,DE,1400,18 January 1944,"decommissioned 1946, scrapped 1968",,,
Coffman,USA,Cannon,DE,1240,27 December 1943,"decommissioned 1946, scrapped 1973",,,
Coghlan,USA,Benson,DD,1620,10 July 1942,"decommissioned 1947, scrapped 1974",,,
Cogswell,USA,Fletcher,DD,2050,17 August 1943,"to Turkey 1969, scrapped 1980",,,
Colahan,USA,Fletcher,DD,2050,23 August 1943,sunk as target 1966,,,
Colbert,FRA,Suffren,CA,10000,4 March 1931,scuttled 27 November 1942,,,
Cole,USA,Wickes,DD,1190,19 June 1919,scrapped 1947,,,
Colhoun (I),USA,Wickes,DD,1060,13 June 1918,sunk 30 August 1942,,,
Colhoun (II),USA,Fletcher,DD,2050,8 July 1944,Sunk 6 April 1945,,,
Collett,USA,Sumner,DD,2200,16 May 1944,to Argentina 1974,,,
Collingwood,Royal Canadian Navy,Flower,K,925,19 November 1940,paid off 23 July 1945,,,
Colombo,ENG,C,CL,4200,18 June 1919,scrapped 1948,,,
Colossus,ENG,Colossus,CV,13200,16 December 1944,"transferred to France, renamed Arromanches 6 August 1946",,,
Coltsfoot,ENG,Flower,K,925,1 November 1941,,,,
Columbia,Royal Canadian Navy,Town,DD,1060,24 September 1940,paid off August 1945,,,
Columbia,USA,Cleveland,CL,11800,29 July 1942,scrapped 1959,,,
Columbine,ENG,Flower,K,925,9 November 1940[6],,,,
Columbus,USA,Baltimore,CA,17200,8 June 1945,"converted to missile cruiser 1962, scrapped 1977",,,
Combattante,Free French Naval Forces,Hunt,DE,1050,30 December 1942,sunk 23 February 1945,,,
Comet,ENG,C,DD,1885,6 June 1945,"Paid off 1958, scrapped 1962",,,
Commandant d'Estienne d'Orves,Free French Naval Forces,Flower,K,925,23 May 1942,31 May 1947,,,
Commandant Detroyat,Free French Naval Forces,Flower,K,925,16 September 1941,1947,,,
Commandant Drogou,Free French Naval Forces,Flower,K,925,15 January 1942,May 1947,,,
Commencement Bay,USA,Commencement Bay,CVE,11373,27 November 1944,"Decommissioned 30 November 1946, scrapped 1971",,,
Compton,USA,Sumner,DD,2200,4 November 1944,"to Brazil 1972, scrapped 1990",,,
Concord,USA,Omaha,CL,7050,3 November 1923,scrapped 1947,,,
Cone,USA,Gearing,DD,2250,18 August 1945,"to Pakistan 1982, scrapped 1998",,,
Conklin,USA,Butler,DE,1350,21 April 1944,"decommissioned 1946, scrapped 1972",,,
Conner (II),USA,Fletcher,DD,2050,8 June 1943,"to Greece 1959, scrapped 1997",,,
Connolly,USA,Evarts,DE,1140,8 July 1944,scrapped 1947,,,
Conrad,Royal Navy  Polish Navy,D,CL,4850,4 October 1944,"returned to Royal Navy 28 September 1946, scrapped March 1948",,,
Conte di Cavour,Regia Marina,Conte di Cavour,dreadnought,26140,1915,"captured 10 September 1943 by Germany, scrapped 1946",,,
Contest,ENG,C,DD,1885,9 November 1945,scrapped 1960,,,
Converse,USA,Fletcher,DD,2050,20 November 1942,"to Spain 1959, scrapped 1988",,,
Convolvulus,ENG,Flower,K,925,26 February 1941[6],,,,
Conway,USA,Fletcher,DD,2050,9 October 1942,sunk as target 1970,,,
Cony,USA,Fletcher,DD,2050,30 October 1942,sunk as target 1970,,,
Conyngham,USA,Mahan,DD,1450,4 November 1936,scuttled 1948 after A-bomb test,,,
Coolbaugh,USA,Buckley,DE,1400,15 October 1943,"decommissioned 1960, scrapped 1973",,,
Cooner,USA,Cannon,DE,1240,21 August 1943,"decommissioned 1946, scrapped 1973",,,
Cooper,USA,Sumner,DD,2200,9 February 1944,sunk 3 December 1944,,,
Copahee,USA,Bogue,CVE,9800,15 June 1942,"decommissioned 1946, scrapped 1961",,,
Coral Sea,USA,Casablanca,CVE,9600,27 August 1943,"renamed Anzio, decommissioned 1946, scrapped 1959",,,
Core,USA,Bogue,CVE,9800,10 December 1942,"decommissioned 1946, scrapped 1971",,,
Coreopsis,Royal Navy  Hellenic Navy,Flower,K,925,August 1940,"to Greece as Kriezis 10 November 1943, out of service 1952",,,
Coriander,ENG,Flower,K,925,16 September 1941,scrapped 1948,,,
Cornwallis,Royal Indian Navy,Cornwallis,SL,1290,1921,Scrapped 1946,,,
Coronel,GER,,MC,12700,13 August 1938,ran aground 21 November 1984,,,
Corregidor,USA,Casablanca,CVE,10400,31 August 1943,scrapped 1959,,,
Corrientes,Argentine Navy,Buenos Aires,DD,1375,,Lost 3 October 1941,,,
Corry,USA,Gleaves,DD,1630,18 December 1941,sunk 6 June 1944,,,
Cossack (I),ENG,Tribal,DD,2020,7 June 1938,sunk 24 October 1941,,,
Cossack (II),ENG,C,DD,1885,4 September 1945,scrapped 1961,,,
Cotswold,ENG,Hunt,DE,1050,16 November 1940,"paid off 1946, scrapped 1957",,,
Cotten,USA,Fletcher,DD,2050,24 July 1943,"decommissioned 1960, scrapped 1975",,,
Cottesmore,ENG,Hunt,DE,1050,29 December 1940,"paid off 28 February 1946, scrapped 1951",,,
Courageous,ENG,Glorious,CV,22500,4 November 1916,sunk 17 September 1939,,,
Courbet,French Navy  Free French Naval Forces,Courbet,dreadnought,23200,November 1913,"scuttled as a ""Gooseberry"" breakwater 6 June 1944",,,
Coventry,ENG,C,CL,4290,21 February 1918,lost 14 September 1942,,,
Cowell,USA,Fletcher,DD,2050,23 August 1943,"to Argentina 1971, scrapped 1982",,,
Cowie,USA,Gleaves,DD,1630,1 June 1942,"decommissioned 1947, scrapped 1972",,,
Cowpens,USA,Independence,CVL,11000,28 May 1943,"decommissioned 13 January 1947, scrapped 1960",,,
Cowslip,ENG,Flower,K,925,9 August 1941,,,,
Crane,USA,Wickes,DD,1190,18 April 1919,scrapped 1946,,,
Craven,USA,Gridley,DD,1590,2 September 1937,scrapped 1947,,,
Crescent,Royal Canadian Navy,C,DD,1900,21 August 1945,"delivered to Canada January 1945, scrapped 1971",,,
Croatan,USA,Bogue,CVE,9800,28 April 1943,"decommissioned 1946, scrapped 1971",,,
Crocus,ENG,Flower,K,925,20 October 1940[6],,,,
Cronin,USA,Buckley,DE,1400,5 May 1944,sunk as target 1971,,,
Croome,ENG,Hunt,DE,1000,29 June 1941,"paid off October 1945, scrapped 1957",,,
Crosby,USA,Wickes,DD,1190,24 January 1919,scrapped 1946,,,
Cross,USA,Butler,DE,1350,8 January 1945,"decommissioned 1958, scrapped 1968",,,
Crouter,USA,Evarts,DE,1140,25 May 1943,scrapped 1947,,,
Crowley,USA,Evarts,DE,1140,25 March 1944,scrapped 1947,,,
Crusader,Royal Canadian Navy,C,DD,1900,26 November 1945,"delivered to Canada January 1945, scrapped 1971",,,
Cuba,Cuba,,SL,2055,c.1911,stricken 1971,,,
Cummings,USA,Mahan,DD,1450,25 November 1936,scrapped 1947,,,
Curacoa,ENG,C-class light cruiser,,4290,18 February 1918,lost 2 October 1942,,,
Curie,Royal Navy  Free French Naval Forces,U,SS,540,2 May 1943,"returned to Royal Navy July 1946, paid off May 1949",,,
Curlew,ENG,C,CL,4290,14 December 1917,lost 26 May 1940,,,
Currier,USA,Buckley,DE,1400,1 February 1944,sunk as target 1967,,,
Cushing (I),USA,Mahan,DD,1450,28 August 1936,sunk 13 November 1942,,,
Cushing (II),USA,Fletcher,DD,2050,17 January 1944,"to Brazil 1961, scrapped 1982",,,
Cuttack,Royal Indian Navy,Basset,AM,529,1941–1944,1941–1944,,,
Cyclamen,ENG,Flower,K,925,30 September 1940[6],,,,
Cyprus,ENG,,Special Service Ship,4398,,paid off March 1941,,,
Babbitt,USA,Wickes,DD,1190.0,24 October 1919,scrapped 1946,,,
Bachaquero,ENG,Maracaibo,LST,4193.0,August 1941,paid off 1945,,,
Bache,USA,Fletcher,DD,2050.0,14 November 1942,scrapped 1968,,,
Badger,USA,Wickes,DD,1190.0,29 May 1919,scrapped 1945,,,
Badsworth,Royal Navy  Royal Norwegian Navy,Hunt,DE,1050.0,18 August 1941,"paid off 16 November 1944, to Norway as Arendal 8 August 1944",,,
Bagley,USA,Bagley,DD,1500.0,12 June 1937,scrapped 1947,,,
Bahia,Brazilian Navy,Bahia-class light cruiser,,3100.0,1910,lost 4 July 1945,,,
Bailey (DD-492),USA,Benson,DD,1620.0,11 May 1942,"decommissioned 1946, sunk as target 1969",,,
Bainbridge,USA,Clemson,DD,1200.0,9 February 1921,scrapped 1945,,,
Bairoko,USA,Commencement Bay,CVE,10200.0,16 July 1945,"decommissioned 1955, scrapped 1960",,,
Baker,USA,Cannon,DE,1240.0,23 December 1943,"to France 1952, sunk as target 1970",,,
Balch,USA,Porter,DD,1850.0,20 October 1936,scrapped 1946,,,
Baldwin,USA,Gleaves,DD,1630.0,30 April 1943,"decommissioned 1946, scuttled 1961",,,
Baltimore,USA,Baltimore-class heavy cruiser,,17200.0,15 April 1943,"decommissioned 2 July 1954, scrapped 1972",,,
Banckert,Royal Netherlands Navy,Admiralen class,DD,1337.0,14 November 1930,Sunk as targetship September 1949,,,
Bancroft,USA,Benson,DD,1620.0,30 April 1942,"decommissioned 1946, scrapped 1973",,,
Bangust,USA,Cannon,DE,1240.0,30 October 1943,"to Peru 1952, scrapped 1979",,,
Barb,USA,Gato-class submarine,,2460.0,2 April 1942,"sold to Italy as Enrico Tazzoli 1954, scrapped 1973",,,
Barber,USA,Buckley,DE,1400.0,10 October 1943,"to Mexico 1969, struck 2001",,,
Barham,ENG,Queen Elizabeth,BB,31000.0,19 August 1915,sunk 25 November 1941,,,
Bari,Regia Marina,CL,,3284.0,1925,sunk 28 June 1943,,,
Barfleur,ENG,Battle,DD,2325.0,14 September 1944,"paid off 1958, scrapped 1966",,,
Barker,USA,Clemson,DD,1200.0,17 December 1919,scrapped 1945,,,
Barnes,USA,Bogue,CVE,11400.0,20 February 1943,"Decommissioned 29 August 1946, scrapped 1959",,,
Barney,USA,Wickes,DD,1190.0,14 March 1919,scrapped 1946,,,
Baroda,Royal Indian Navy,Basset,AM,529.0,December 1942,to Pakistan 1948[5],,,
Baron,USA,Cannon,DE,1240.0,5 July 1943,"to Uruguay 1952, scrapped 1990",,,
Barr,USA,Buckley,DE,1400.0,16 February 1944,sunk as target 1963,,,
Barrie,Royal Canadian Navy,Flower,K,925.0,12 May 1941,paid off 26 June 1945,,,
Barry,USA,Clemson,DD,1200.0,15 November 1921,sunk 21 June 1945,,,
Bartolomeo Colleoni,Regia Marina,Giussano-class light cruiser,,5200.0,10 February 1932,Sunk 19 July 1940,,,
Barton,USA,Benson,DD,1620.0,29 May 1942,sunk 13 November 1942,,,
Barton,USA,Sumner,DD,2200.0,30 December 1943,sunk as target 1969,,,
Basilisk,ENG,B,DD,1350.0,4 March 1931,sunk 1 June 1940,,,
Bataan,Royal Australian Navy,Tribal,DD,2020.0,25 May 1945,scrapped 1958,,,
Bataan,USA,Independence,CVL,11000.0,17 November 1943,"decommissioned 9 April 1954, scrapped 1960",,,
Bates,USA,Buckley,DE,1400.0,13 September 1943,sunk by kamikazes 25 May 1945,,,
Bath,Royal Navy  Royal Norwegian Navy,Town,DD,1190.0,23 September 1940,"to Norway as HNoMS Bath 9 January 1941, sunk on 19 August 1941",,,
Battleford,Royal Canadian Navy,Flower,K,925.0,31 July 1941,paid off 18 July 1945,,,
Battler,ENG,Attacker,CVE,10000.0,31 October 1942,"paid off 12 February 1946, scrapped 14 May 1946",,,
Bauru,United States  Brazilian Navy,Cannon,DE,1240.0,11 October 1943,"to Brazil 16 August 1944, paid off 17 September 1981, museum ship",,,
Beacon Hill,Royal Canadian Navy,River,FF,1445.0,16 May 1944,paid off 15 September 1967,,,
Beagle,ENG,B,DD,1350.0,9 April 1931,scrapped January 1946,,,
Beale,USA,Fletcher,DD,2050.0,23 December 1942,sunk as target 1969,,,
Béarn,French Navy  Free French Naval Forces,,CV,22150.0,May 1927,"stricken November 1966, scrapped March 1967",,,
Bearss,USA,Fletcher,DD,2050.0,12 April 1944,"decommissioned 1963, scrapped 1976",,,
Beatty (I),USA,Gleaves,DD,1630.0,7 May 1942,sunk 6 November 1943,,,
Beatty (II),USA,Sumner,DD,2200.0,31 March 1945,"to Venezuela 1972, scrapped 1981",,,
Beaufort,ENG,Hunt,DE,1000.0,3 November 1941,scrapped 1965,,,
Beauharnois,Royal Canadian Navy,Flower modified,K,1015.0,25 September 1944,12 July 1945,,,
Bebas,USA,Evarts,DE,1140.0,15 May 1943,scrapped 1945,,,
Beberibe,United States  Brazilian Navy,Cannon,DE,1240.0,6 October 1943,"to Brazil 1 August 1944, paid off 1968",,,
Bedouin,ENG,Tribal,DD,2020.0,15 March 1939,Sunk 15 June 1942,,,
Begonia,Royal Navy  United States Navy,Flower,K,925.0,3 March 1941,"to USA as Impulse 10 March 1942, to UK 22 August 1945, paid off 22 July 1948[6]",,,
Begum,ENG,Ruler,CVE,11400.0,2 August 1943,"paid off 20 March 1946, scrapped 1974",,,
Belfast,ENG,Town-class cruiser,,11553.0,5 August 1939,Museum ship since 21 October 1971 moored in London next to Tower Bridge,,,
Bell,USA,Fletcher,DD,2050.0,4 March 1943,"decommissioned 1946, sunk as target 1975",,,
Belleau Wood,USA,Independence,CVL,11000.0,31 March 1943,"decommissioned 13 January 1947, scrapped 1961",,,
Belleville,Royal Canadian Navy,Flower modified,K,1015.0,19 October 1944,5 July 1945,,,
Bellwort,ENG,Flower,K,925.0,20 November 1941,,,,
Belmont,ENG,Town,DD,1200.0,8 October 1940,sunk 31 January 1942,,,
Belvoir,ENG,Hunt,DE,1050.0,29 March 1942,"paid off 1957, scrapped 21 October 1957",,,
Benevente,United States  Brazilian Navy,Cannon,DE,1240.0,23 October 1943,"to Brazil 19 December 1944, paid off 1964",,,
Bengal,Royal Indian Navy,Bathurst,K,1025.0,8 August 1942,Decommissioned 1960,,,
Benham (I),USA,Benham,DD,1500.0,2 February 1939,sunk 15 November 1942,,,
Benham (II),USA,Fletcher,DD,2050.0,20 December 1943,"to Peru 1960, scrapped 1980",,,
Benner,USA,Gearing,DD,2250.0,13 February 1945,scrapped 1975,,,
Bennett,USA,Fletcher,DD,2050.0,9 February 1943,"to Brazil 1959, scrapped 1978",,,
Bennington,USA,Essex,CV,30800.0,6 August 1944,"decommissioned 15 January 1970, scrapped 1994",,,
Bennion,USA,Fletcher,DD,2050.0,14 December 1943,"decommissioned 1946, scrapped 1973",,,
Benson,USA,Benson,DD,1620.0,25 July 1940,"transferred to Taiwan 1954, scrapped 1974",,,
Berar,Royal Indian Navy,Basset,AM,529.0,October 1942,decommissioned 1946[7],,,
Bergamot,ENG,Flower,K,925.0,12 May 1941,,,,
Berkeley,ENG,Hunt,DE,1000.0,6 June 1940,scuttled 19 August 1942,,,
Bermuda,ENG,Fiji-class cruiser,,8000.0,21 August 1942,scrapped 1965,,,
Bernadou,USA,Wickes,DD,1190.0,19 May 1919,scrapped 1945,,,
Bertioga,United States  Brazilian Navy,Cannon,DE,1240.0,15 September 1943,"to Brazil 1 August 1944, paid off 1964",,,
Betony,Royal Navy  Royal Indian Navy,Flower modified,K,1015.0,31 August 1943,to RIN as Sind 24 March 1945,,,
Beverley,ENG,Town,DD,1200.0,8 October 1940,sunk 11 April 1943,,,
Biddle,USA,Wickes,DD,1190.0,22 April 1919,scrapped 1946,,,
Bicester,ENG,Hunt,DE,1050.0,9 May 1942,"paid off 1955, scrapped 1956",,,
Bideford,ENG,Shoreham,SL,1105.0,23 February 1932,Sold 14 September 1947,,,
Big Horn,USA,,Q-ship,,15 April 1942,6 May 1946,,,
Biloxi,USA,Cleveland-class light cruiser,,11800.0,31 August 1943,Scrapped 1962,,,
HMS Birmingham,ENG,Southampton-class light cruiser,,9770.0,18 November 1937,scrapped 1960,,,
USS Birmingham,USA,Cleveland-class light cruiser,,11800.0,29 January 1943,Scrapped 1959,,,
Bismarck,GER,Bismarck,BB,41700.0,24 August 1940,sunk 27 May 1941,,,
Bismarck Sea,USA,Casablanca,CVE,7800.0,20 May 1944,sunk 21 February 1945,,,
Biter,ENG,Attacker,CVE,8200.0,5 May 1942,Transferred to France as Dixmude 1945,,,
Bittersweet,Royal Navy  Royal Canadian Navy,Flower,K,925.0,23 January 1941,"to Canada 15 May 1941, paid off 22 June 1945",,,
Bivin,USA,Butler,DE,1350.0,31 October 1944,"decommissioned 1947, sunk as target 1969",,,
Black,USA,Fletcher,DD,2050.0,21 May 1943,scrapped 1971,,,
Black Prince,ENG,Dido-class light cruiser,,5950.0,30 November 1943,Decommissioned March 1962,,,
Blackmore,ENG,Hunt,DE,1050.0,14 April 1942,,,,
Blair,USA,Edsall,DE,1250.0,13 September 1943,"decommissioned 1960, scrapped 1972",,,
Blakeley,USA,Wickes,DD,1190.0,8 May 1919,scrapped 1945,,,
Blanche,ENG,B,DD,1350.0,14 February 1931,sunk 13 November 1939,,,
Blanco Encalada,CHL,C,,3435.0,1893,scrapped 1946,,,
Blankney,ENG,Hunt,DE,1050.0,11 April 1941,scrapped 1958,,,
Blean,ENG,Hunt,DE,1050.0,23 August 1942,sunk 11 December 1942 by U-443,,,
Bleasdale,ENG,Hunt,DE,1050.0,16 April 1942,"paid off 1956, scrapped14 September 1956",,,
Blencathra,ENG,Hunt,DE,1050.0,14 December 1940,"paid off July 1948, scrapped 1957",,,
Blessman,USA,Buckley,DE,1400.0,19 September 1943,"to Taiwan 1967, scrapped 1995",,,
Block Island,USA,Bogue,CVE,9800.0,8 March 1943,Sunk 29 May 1944,,,
Block Island,USA,Commencement Bay,CVE,14400.0,30 December 1944,"decommissioned 1954, scrapped 1960",,,
Blücher,GER,Admiral Hipper-class heavy cruiser,,14000.0,20 September 1939,sunk 9 April 1940,,,
Blue (I),USA,Bagley,DD,1500.0,14 August 1937,sunk 22 August 1942,,,
Blue (II),USA,Sumner,DD,2200.0,20 March 1944,sunk as target 1974,,,
Bluebell,ENG,Flower,K,925.0,19 July 1940[6],sunk on 17 February 1945 by U-711[8],,,
Błyskawica,Poland,Grom,DD,1975.0,25 November 1937,"decommissioned 1 May 1976, preserved as museum ship",,,
Boadicea,ENG,B,DD,1350.0,7 April 1931,sunk 13 June 1944,,,
Bocaina,United States  Brazilian Navy,Cannon,DE,1240.0,3 September 1943,"to Brazil 20 March 1945, paid off 1975",,,
Boggs,USA,Wickes,DAM,1190.0,23 September 1918,scrapped 1946,,,
Bogue,USA,Bogue,CVE,9800.0,26 September 1942,"Decommissioned 30 November 1946, scrapped 1960",,,
Boise,USA,Brooklyn-class light cruiser,,9950.0,12 August 1938,"Decommissioned 11 January 1951, sold to Argentina. Scrapped 1978",,,
Bolzano,Regia Marina,Trento class heavy cruiser,,10511.0,1933,sunk 1944,,,
Bombay,Royal Indian Navy,Bathurst,K,1025.0,24 April 1942,Decommissioned 1960,,,
Bon Homme Richard,USA,Essex,CV,30800.0,26 November 1944,"decommissioned 2 July 1971, scrapped 1992",,,
Booth,USA,Cannon,DE,1240.0,19 September 1943,"to Philippines 1967, lost in typhoon 1981",,,
Borage,ENG,Flower,K,925.0,29 April 1942,,,,
Bordelon,USA,Gearing,DD,2250.0,5 June 1945,to Iran 1977,,,
Boreas,Royal Navy  Hellenic Navy,B,DD,1350.0,20 February 1931,"to Greece as Salamis 1944, scrapped 1951",,,
Borie (I),USA,Clemson,DD,1200.0,24 March 1920,sank 2 November 1943 after ramming and sinking U-405,,,
Borie (II),USA,Sumner,DD,2200.0,21 September 1944,"to Argentina 1972, scrapped 1984",,,
Borum,USA,Buckley,DE,1400.0,30 November 1943,"decommissioned 1946, scrapped 1966",,,
Boston,USA,Baltimore-class heavy cruiser,,17200.0,30 June 1943,"decommissioned 1970, scrapped 1975",,,
Bostwick,USA,Cannon,DE,1240.0,1 December 1943,"to Republic of China 1948, scrapped 1972",,,
Bougainville,USA,Casablanca,CVE,7800.0,18 June 1944,"decommissioned 1946, scrapped 1960",,,
